used,len_groups,len_unique,new_size,entropy_full,entropy_cut
"['gender', 'dob', 'children', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",1834,1684,316,10.7933,7.2118
"['education', 'dob', 'children', 'employment', 'number_vehicles', 'accommodation', 'disease']",1834,1685,315,10.7929,7.2014
"['gender', 'state', 'children', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1831,1687,313,10.7864,7.1436
"['education', 'gender', 'state', 'children', 'commute_time', 'accommodation', 'disease']",1837,1688,312,10.7975,7.2067
"['education', 'gender', 'dob', 'children', 'employment', 'accommodation', 'disease']",1837,1688,312,10.7973,7.2051
"['education', 'state', 'children', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1834,1689,311,10.7914,7.1591
"['dob', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1829,1689,311,10.7821,7.0995
"['education', 'gender', 'dob', 'number_vehicles', 'disease']",1839,1690,310,10.7998,7.205
"['education', 'dob', 'employment', 'number_vehicles', 'commute_time', 'disease']",1836,1690,310,10.7947,7.1726
"['education', 'state', 'employment', 'number_vehicles', 'commute_time', 'disease']",1837,1694,306,10.7941,7.1351
"['education', 'gender', 'state', 'children', 'employment', 'accommodation', 'disease']",1840,1696,304,10.7995,7.154
"['dob', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1833,1696,304,10.7865,7.0683
"['education', 'dob', 'employment', 'marital_status', 'accommodation', 'disease']",1841,1697,303,10.8009,7.1547
"['education', 'dob', 'children', 'employment', 'marital_status', 'accommodation', 'disease']",1844,1703,297,10.8039,7.124
"['education', 'state', 'children', 'employment', 'number_vehicles', 'accommodation', 'disease']",1843,1703,297,10.8019,7.1106
"['education', 'gender', 'dob', 'employment', 'marital_status', 'disease']",1846,1705,295,10.8066,7.1256
"['education', 'state', 'marital_status', 'commute_time', 'accommodation', 'disease']",1846,1705,295,10.8066,7.1256
"['education', 'state', 'children', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1846,1706,294,10.8063,7.1144
"['education', 'state', 'children', 'marital_status', 'commute_time', 'accommodation', 'disease']",1847,1707,293,10.8076,7.1152
"['education', 'gender', 'state', 'marital_status', 'commute_time', 'disease']",1844,1707,293,10.8015,7.073
"['education', 'state', 'employment', 'marital_status', 'accommodation', 'disease']",1840,1707,293,10.7946,7.0264
"['gender', 'state', 'employment', 'marital_status', 'number_vehicles', 'disease']",1840,1707,293,10.7942,7.0234
"['gender', 'state', 'children', 'employment', 'marital_status', 'number_vehicles', 'disease']",1841,1709,291,10.7952,7.0124
"['education', 'gender', 'state', 'children', 'marital_status', 'commute_time', 'disease']",1846,1711,289,10.8035,7.0515
"['education', 'state', 'children', 'employment', 'marital_status', 'accommodation', 'disease']",1842,1711,289,10.7966,7.0042
"['state', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1841,1711,289,10.7944,6.9887
"['education', 'gender', 'dob', 'children', 'employment', 'marital_status', 'disease']",1850,1713,287,10.8106,7.0837
"['education', 'dob', 'children', 'employment', 'number_vehicles', 'commute_time', 'disease']",1849,1713,287,10.8089,7.0715
"['dob', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1842,1713,287,10.7959,6.9808
"['state', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1844,1717,283,10.7974,6.9544
"['education', 'dob', 'marital_status', 'number_vehicles', 'disease']",1849,1718,282,10.8072,7.0151
"['gender', 'dob', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1855,1719,281,10.8174,7.0782
"['gender', 'dob', 'employment', 'marital_status', 'number_vehicles', 'disease']",1855,1720,280,10.817,7.0666
"['education', 'dob', 'children', 'marital_status', 'number_vehicles', 'disease']",1850,1720,280,10.8082,7.0039
"['dob', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1846,1720,280,10.8002,6.9468
"['gender', 'dob', 'children', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1858,1724,276,10.8208,7.0577
"['gender', 'dob', 'children', 'employment', 'marital_status', 'number_vehicles', 'disease']",1858,1725,275,10.8204,7.0459
"['education', 'gender', 'dob', 'children', 'number_vehicles', 'disease']",1857,1725,275,10.8181,7.0295
"['education', 'gender', 'dob', 'commute_time', 'accommodation', 'disease']",1859,1729,271,10.8206,7.0109
"['education', 'dob', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1859,1734,266,10.8185,6.9479
"['education', 'state', 'children', 'employment', 'number_vehicles', 'commute_time', 'disease']",1859,1734,266,10.818,6.9442
"['education', 'gender', 'state', 'number_vehicles', 'commute_time', 'disease']",1863,1737,263,10.8244,6.9637
"['education', 'gender', 'state', 'employment', 'marital_status', 'disease']",1860,1739,261,10.8181,6.8964
"['education', 'gender', 'state', 'children', 'employment', 'marital_status', 'disease']",1861,1741,259,10.8191,6.8843
"['education', 'gender', 'dob', 'employment', 'commute_time', 'accommodation', 'disease']",1866,1742,258,10.828,6.9432
"['education', 'dob', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1868,1752,248,10.8275,6.839
"['education', 'gender', 'dob', 'employment', 'number_vehicles', 'disease']",1873,1753,247,10.8359,6.8966
"['education', 'gender', 'dob', 'children', 'commute_time', 'accommodation', 'disease']",1872,1753,247,10.8344,6.8844
"['education', 'dob', 'children', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1870,1753,247,10.8306,6.854
"['education', 'gender', 'state', 'marital_status', 'number_vehicles', 'disease']",1869,1753,247,10.8286,6.8378
"['education', 'gender', 'state', 'children', 'marital_status', 'number_vehicles', 'disease']",1871,1757,243,10.8306,6.8125
"['education', 'gender', 'state', 'employment', 'commute_time', 'accommodation', 'disease']",1874,1758,242,10.8358,6.8443
"['education', 'state', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1873,1758,242,10.834,6.8298
"['education', 'gender', 'dob', 'number_vehicles', 'accommodation', 'disease']",1876,1760,240,10.8385,6.8464
"['gender', 'state', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1872,1760,240,10.8308,6.7823
"['education', 'gender', 'dob', 'marital_status', 'commute_time', 'disease']",1877,1761,239,10.8399,6.8474
"['education', 'dob', 'marital_status', 'commute_time', 'accommodation', 'disease']",1874,1761,239,10.8346,6.8034
"['gender', 'state', 'children', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1873,1762,238,10.8318,6.7691
"['education', 'gender', 'state', 'employment', 'number_vehicles', 'disease']",1877,1764,236,10.8383,6.8021
"['education', 'dob', 'children', 'marital_status', 'commute_time', 'accommodation', 'disease']",1876,1765,235,10.8366,6.7774
"['education', 'gender', 'dob', 'children', 'employment', 'commute_time', 'accommodation', 'disease']",1879,1766,234,10.8418,6.8104
"['education', 'gender', 'dob', 'children', 'marital_status', 'commute_time', 'disease']",1880,1767,233,10.8429,6.8094
"['gender', 'dob', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1881,1769,231,10.8441,6.7986
"['education', 'dob', 'children', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1879,1771,229,10.8396,6.7374
"['gender', 'dob', 'children', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1884,1774,226,10.8475,6.7736
"['education', 'gender', 'state', 'children', 'number_vehicles', 'commute_time', 'disease']",1883,1775,225,10.8451,6.7414
"['gender', 'state', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1883,1775,225,10.8449,6.7392
"['education', 'state', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1886,1778,222,10.8495,6.747
"['gender', 'dob', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1885,1778,222,10.8478,6.7312
"['gender', 'state', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1885,1778,222,10.8475,6.729
"['education', 'dob', 'employment', 'marital_status', 'number_vehicles', 'disease']",1883,1779,221,10.8439,6.6847
"['gender', 'dob', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1887,1781,219,10.8501,6.7187
"['education', 'dob', 'children', 'employment', 'marital_status', 'number_vehicles', 'disease']",1884,1781,219,10.8449,6.6706
"['education', 'state', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1888,1782,218,10.8515,6.7199
"['education', 'dob', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",1886,1782,218,10.8478,6.6854
"['education', 'state', 'employment', 'marital_status', 'number_vehicles', 'disease']",1885,1782,218,10.8458,6.6671
"['education', 'gender', 'dob', 'children', 'employment', 'number_vehicles', 'disease']",1889,1784,216,10.8523,6.7039
"['education', 'state', 'children', 'employment', 'marital_status', 'number_vehicles', 'disease']",1886,1784,216,10.8468,6.6529
"['education', 'gender', 'state', 'children', 'employment', 'commute_time', 'accommodation', 'disease']",1889,1785,215,10.8521,6.6911
"['education', 'gender', 'dob', 'employment', 'marital_status', 'commute_time', 'disease']",1889,1785,215,10.8519,6.6888
"['education', 'dob', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1886,1785,215,10.8469,6.6421
"['education', 'dob', 'children', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",1888,1786,214,10.8498,6.6572
"['education', 'dob', 'children', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1887,1787,213,10.8479,6.6276
"['education', 'gender', 'dob', 'marital_status', 'accommodation', 'disease']",1892,1789,211,10.8559,6.6795
"['education', 'gender', 'dob', 'children', 'number_vehicles', 'accommodation', 'disease']",1891,1789,211,10.8539,6.6606
"['education', 'gender', 'dob', 'children', 'employment', 'marital_status', 'commute_time', 'disease']",1892,1791,209,10.8549,6.6462
"['education', 'state', 'children', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1891,1791,209,10.8534,6.6318
"['gender', 'state', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1891,1792,208,10.8528,6.6137
"['education', 'gender', 'dob', 'children', 'marital_status', 'accommodation', 'disease']",1894,1793,207,10.8579,6.6511
"['gender', 'state', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1892,1794,206,10.8538,6.5989
"['gender', 'dob', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1895,1798,202,10.8578,6.5887
"['education', 'gender', 'state', 'children', 'employment', 'number_vehicles', 'disease']",1896,1800,200,10.8583,6.5688
"['education', 'state', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",1895,1800,200,10.8568,6.5537
"['education', 'state', 'children', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",1895,1800,200,10.8568,6.5537
"['gender', 'dob', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1897,1801,199,10.8601,6.5749
"['education', 'gender', 'dob', 'employment', 'number_vehicles', 'accommodation', 'disease']",1898,1802,198,10.8613,6.5737
"['education', 'gender', 'dob', 'number_vehicles', 'commute_time', 'disease']",1900,1804,196,10.864,6.5764
"['education', 'gender', 'state', 'employment', 'number_vehicles', 'accommodation', 'disease']",1904,1813,187,10.8679,6.5
"['education', 'gender', 'state', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1904,1813,187,10.8679,6.5
"['education', 'gender', 'state', 'employment', 'marital_status', 'commute_time', 'disease']",1904,1819,181,10.8654,6.3905
"['education', 'gender', 'state', 'children', 'employment', 'marital_status', 'commute_time', 'disease']",1904,1819,181,10.8654,6.3905
"['dob', 'state', 'disease']",1908,1820,180,10.8723,6.4529
"['education', 'gender', 'dob', 'children', 'number_vehicles', 'commute_time', 'disease']",1909,1821,179,10.8734,6.4517
"['education', 'dob', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1906,1821,179,10.8684,6.3956
"['education', 'gender', 'dob', 'employment', 'number_vehicles', 'commute_time', 'disease']",1910,1823,177,10.8747,6.4379
"['education', 'dob', 'children', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1907,1823,177,10.8694,6.3784
"['gender', 'dob', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1909,1824,176,10.8725,6.3996
"['education', 'dob', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1908,1825,175,10.8704,6.361
"['education', 'dob', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1908,1825,175,10.8704,6.361
"['education', 'gender', 'dob', 'employment', 'marital_status', 'accommodation', 'disease']",1912,1827,173,10.8767,6.4042
"['gender', 'dob', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1911,1827,173,10.8749,6.3839
"['education', 'gender', 'dob', 'children', 'employment', 'number_vehicles', 'accommodation', 'disease']",1911,1827,173,10.8747,6.3811
"['gender', 'dob', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1912,1830,170,10.8755,6.3475
"['education', 'gender', 'state', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1912,1830,170,10.8753,6.3446
"['education', 'gender', 'dob', 'children', 'employment', 'marital_status', 'accommodation', 'disease']",1914,1831,169,10.8787,6.3697
"['education', 'gender', 'state', 'children', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1913,1832,168,10.8763,6.3267
"['education', 'state', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1912,1832,168,10.8748,6.3088
"['education', 'state', 'children', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1912,1832,168,10.8748,6.3088
"['gender', 'dob', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1914,1833,167,10.8779,6.3312
"['gender', 'state', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1914,1834,166,10.8773,6.3087
"['gender', 'state', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1915,1836,164,10.8783,6.2904
"['education', 'gender', 'state', 'employment', 'number_vehicles', 'commute_time', 'disease']",1915,1837,163,10.8779,6.2704
"['dob', 'state', 'children', 'disease']",1917,1838,162,10.8813,6.2965
"['education', 'gender', 'state', 'marital_status', 'commute_time', 'accommodation', 'disease']",1916,1838,162,10.8795,6.2749
"['education', 'gender', 'state', 'children', 'marital_status', 'commute_time', 'accommodation', 'disease']",1916,1838,162,10.8795,6.2749
"['education', 'gender', 'dob', 'children', 'employment', 'number_vehicles', 'commute_time', 'disease']",1919,1840,160,10.884,6.3
"['education', 'gender', 'state', 'children', 'employment', 'number_vehicles', 'accommodation', 'disease']",1919,1841,159,10.8837,6.2798
"['education', 'gender', 'state', 'employment', 'marital_status', 'accommodation', 'disease']",1916,1841,159,10.8784,6.2135
"['education', 'gender', 'state', 'children', 'employment', 'marital_status', 'accommodation', 'disease']",1917,1843,157,10.8794,6.194
"['education', 'state', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1921,1844,156,10.886,6.2629
"['education', 'gender', 'state', 'children', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1920,1844,156,10.8843,6.2404
"['education', 'state', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1922,1846,154,10.887,6.244
"['education', 'dob', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1920,1849,151,10.8824,6.1338
"['education', 'dob', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1920,1849,151,10.8824,6.1338
"['education', 'gender', 'dob', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1924,1851,149,10.8887,6.1838
"['education', 'gender', 'dob', 'marital_status', 'number_vehicles', 'disease']",1923,1851,149,10.8869,6.1603
"['education', 'gender', 'dob', 'children', 'marital_status', 'number_vehicles', 'disease']",1924,1853,147,10.8879,6.14
"['education', 'state', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1925,1854,146,10.8893,6.1417
"['education', 'gender', 'dob', 'marital_status', 'commute_time', 'accommodation', 'disease']",1927,1856,144,10.892,6.1456
"['education', 'state', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1926,1856,144,10.8903,6.1212
"['education', 'gender', 'dob', 'children', 'marital_status', 'commute_time', 'accommodation', 'disease']",1928,1858,142,10.893,6.125
"['education', 'gender', 'dob', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1928,1859,141,10.8927,6.1022
"['education', 'dob', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1927,1861,139,10.8901,6.0306
"['education', 'dob', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1927,1861,139,10.8901,6.0306
"['education', 'gender', 'state', 'children', 'employment', 'number_vehicles', 'commute_time', 'disease']",1929,1863,137,10.8927,6.0304
"['education', 'gender', 'state', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1931,1865,135,10.8957,6.0378
"['education', 'gender', 'dob', 'children', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1932,1866,134,10.897,6.0399
"['education', 'gender', 'dob', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",1932,1866,134,10.897,6.0399
"['education', 'gender', 'dob', 'children', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",1933,1868,132,10.898,6.0178
"['education', 'dob', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1933,1873,127,10.8961,5.892
"['education', 'dob', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1933,1873,127,10.8961,5.892
"['education', 'gender', 'dob', 'children', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1936,1874,126,10.901,5.9494
"['education', 'gender', 'dob', 'employment', 'marital_status', 'number_vehicles', 'disease']",1937,1876,124,10.902,5.9259
"['education', 'gender', 'dob', 'children', 'employment', 'marital_status', 'number_vehicles', 'disease']",1938,1878,122,10.903,5.902
"['dob', 'state', 'employment', 'disease']",1937,1878,122,10.9013,5.8732
"['education', 'gender', 'state', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1939,1879,121,10.9044,5.9044
"['education', 'gender', 'state', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1939,1879,121,10.9044,5.9044
"['dob', 'state', 'accommodation', 'disease']",1940,1881,119,10.9054,5.8801
"['education', 'state', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1940,1882,118,10.905,5.8529
"['education', 'state', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1940,1882,118,10.905,5.8529
"['education', 'gender', 'dob', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1940,1884,116,10.9043,5.7975
"['education', 'gender', 'state', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",1940,1884,116,10.9043,5.7975
"['education', 'gender', 'state', 'children', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",1940,1884,116,10.9043,5.7975
"['education', 'gender', 'state', 'children', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1942,1886,114,10.907,5.8021
"['education', 'gender', 'dob', 'children', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1941,1886,114,10.9053,5.7713
"['education', 'gender', 'state', 'employment', 'marital_status', 'number_vehicles', 'disease']",1943,1889,111,10.9077,5.747
"['education', 'gender', 'state', 'children', 'employment', 'marital_status', 'number_vehicles', 'disease']",1943,1889,111,10.9077,5.747
"['dob', 'state', 'children', 'employment', 'disease']",1943,1890,110,10.9073,5.7175
"['dob', 'state', 'children', 'accommodation', 'disease']",1946,1893,107,10.9114,5.7251
"['education', 'gender', 'dob', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1949,1900,100,10.914,5.6088
"['education', 'gender', 'dob', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1950,1901,99,10.9154,5.6116
"['education', 'gender', 'dob', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1950,1901,99,10.9154,5.6116
"['education', 'gender', 'dob', 'children', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1950,1902,98,10.915,5.5789
"['dob', 'state', 'marital_status', 'disease']",1954,1909,91,10.9194,5.4885
"['gender', 'dob', 'state', 'disease']",1955,1911,89,10.9204,5.456
"['dob', 'state', 'children', 'marital_status', 'disease']",1955,1911,89,10.9204,5.456
"['education', 'gender', 'dob', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1955,1911,89,10.9204,5.456
"['education', 'gender', 'state', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1955,1911,89,10.9204,5.456
"['education', 'gender', 'dob', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1955,1911,89,10.9204,5.456
"['education', 'gender', 'state', 'children', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1955,1911,89,10.9204,5.456
"['dob', 'state', 'commute_time', 'disease']",1955,1913,87,10.9197,5.3824
"['dob', 'state', 'employment', 'accommodation', 'disease']",1957,1915,85,10.9224,5.3887
"['dob', 'state', 'employment', 'commute_time', 'disease']",1957,1917,83,10.9217,5.3116
"['education', 'gender', 'state', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1959,1918,82,10.9248,5.3576
"['education', 'gender', 'state', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1959,1918,82,10.9248,5.3576
"['dob', 'state', 'number_vehicles', 'disease']",1958,1918,82,10.923,5.3147
"['dob', 'state', 'children', 'employment', 'accommodation', 'disease']",1960,1921,79,10.9254,5.2816
"['education', 'gender', 'dob', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1960,1921,79,10.9254,5.2816
"['education', 'gender', 'dob', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1960,1921,79,10.9254,5.2816
"['dob', 'state', 'children', 'commute_time', 'disease']",1959,1921,79,10.9237,5.2371
"['gender', 'dob', 'state', 'children', 'disease']",1961,1923,77,10.9264,5.244
"['education', 'gender', 'state', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1962,1925,75,10.9274,5.2054
"['education', 'gender', 'dob', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1962,1925,75,10.9274,5.2054
"['education', 'gender', 'state', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1962,1925,75,10.9274,5.2054
"['education', 'gender', 'dob', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1962,1925,75,10.9274,5.2054
"['dob', 'state', 'children', 'employment', 'commute_time', 'disease']",1961,1925,75,10.9257,5.1586
"['dob', 'state', 'children', 'number_vehicles', 'disease']",1962,1926,74,10.927,5.162
"['gender', 'dob', 'state', 'employment', 'disease']",1964,1929,71,10.9294,5.125
"['dob', 'state', 'number_vehicles', 'accommodation', 'disease']",1965,1930,70,10.9308,5.1293
"['education', 'gender', 'state', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1967,1934,66,10.9328,5.0444
"['education', 'gender', 'state', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1967,1934,66,10.9328,5.0444
"['dob', 'state', 'employment', 'marital_status', 'disease']",1967,1935,65,10.9324,4.9954
"['gender', 'dob', 'state', 'children', 'employment', 'disease']",1968,1937,63,10.9334,4.9494
"['dob', 'state', 'children', 'employment', 'marital_status', 'disease']",1968,1937,63,10.9334,4.9494
"['dob', 'state', 'children', 'number_vehicles', 'accommodation', 'disease']",1969,1938,62,10.9348,4.9542
"['education', 'dob', 'state', 'disease']",1970,1940,60,10.9358,4.9069
"['dob', 'state', 'employment', 'number_vehicles', 'disease']",1969,1940,60,10.934,4.8484
"['gender', 'dob', 'state', 'accommodation', 'disease']",1971,1942,58,10.9368,4.858
"['dob', 'state', 'marital_status', 'accommodation', 'disease']",1971,1943,57,10.9364,4.8021
"['dob', 'state', 'commute_time', 'accommodation', 'disease']",1971,1943,57,10.9364,4.8021
"['dob', 'state', 'children', 'marital_status', 'accommodation', 'disease']",1971,1943,57,10.9364,4.8021
"['dob', 'state', 'employment', 'commute_time', 'accommodation', 'disease']",1971,1943,57,10.9364,4.8021
"['dob', 'state', 'employment', 'number_vehicles', 'accommodation', 'disease']",1972,1944,56,10.9378,4.8074
"['dob', 'state', 'children', 'employment', 'number_vehicles', 'disease']",1971,1944,56,10.936,4.7447
"['gender', 'dob', 'state', 'commute_time', 'disease']",1972,1945,55,10.9374,4.7495
"['education', 'dob', 'state', 'children', 'disease']",1973,1946,54,10.9388,4.7549
"['gender', 'dob', 'state', 'employment', 'commute_time', 'disease']",1973,1947,53,10.9384,4.6948
"['dob', 'state', 'children', 'commute_time', 'accommodation', 'disease']",1973,1947,53,10.9384,4.6948
"['dob', 'state', 'children', 'employment', 'commute_time', 'accommodation', 'disease']",1973,1947,53,10.9384,4.6948
"['dob', 'state', 'children', 'employment', 'number_vehicles', 'accommodation', 'disease']",1974,1948,52,10.9398,4.7004
"['gender', 'dob', 'state', 'children', 'accommodation', 'disease']",1975,1950,50,10.9408,4.6439
"['gender', 'dob', 'state', 'children', 'commute_time', 'disease']",1975,1951,49,10.9404,4.5789
"['dob', 'state', 'marital_status', 'commute_time', 'disease']",1976,1953,47,10.9414,4.5173
"['dob', 'state', 'children', 'marital_status', 'commute_time', 'disease']",1976,1953,47,10.9414,4.5173
"['gender', 'dob', 'state', 'children', 'employment', 'commute_time', 'disease']",1976,1953,47,10.9414,4.5173
"['gender', 'dob', 'state', 'employment', 'accommodation', 'disease']",1977,1954,46,10.9428,4.5236
"['gender', 'dob', 'state', 'marital_status', 'disease']",1978,1956,44,10.9438,4.4594
"['gender', 'dob', 'state', 'children', 'marital_status', 'disease']",1978,1956,44,10.9438,4.4594
"['dob', 'state', 'employment', 'marital_status', 'commute_time', 'disease']",1978,1957,43,10.9434,4.3855
"['dob', 'state', 'children', 'employment', 'marital_status', 'commute_time', 'disease']",1978,1957,43,10.9434,4.3855
"['gender', 'dob', 'state', 'children', 'employment', 'accommodation', 'disease']",1979,1958,42,10.9448,4.3923
"['dob', 'state', 'employment', 'marital_status', 'accommodation', 'disease']",1979,1959,41,10.9444,4.3147
"['dob', 'state', 'children', 'employment', 'marital_status', 'accommodation', 'disease']",1979,1959,41,10.9444,4.3147
"['education', 'dob', 'state', 'employment', 'disease']",1980,1960,40,10.9458,4.3219
"['education', 'dob', 'state', 'accommodation', 'disease']",1980,1960,40,10.9458,4.3219
"['dob', 'state', 'marital_status', 'number_vehicles', 'disease']",1981,1962,38,10.9468,4.2479
"['dob', 'state', 'children', 'marital_status', 'number_vehicles', 'disease']",1981,1962,38,10.9468,4.2479
"['dob', 'state', 'number_vehicles', 'commute_time', 'disease']",1980,1962,38,10.945,4.1556
"['dob', 'state', 'employment', 'number_vehicles', 'commute_time', 'disease']",1980,1962,38,10.945,4.1556
"['education', 'dob', 'state', 'children', 'employment', 'disease']",1982,1964,36,10.9478,4.1699
"['education', 'dob', 'state', 'children', 'accommodation', 'disease']",1982,1964,36,10.9478,4.1699
"['dob', 'state', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1982,1964,36,10.9478,4.1699
"['dob', 'state', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1982,1964,36,10.9478,4.1699
"['dob', 'state', 'children', 'number_vehicles', 'commute_time', 'disease']",1981,1964,36,10.946,4.0724
"['dob', 'state', 'children', 'employment', 'number_vehicles', 'commute_time', 'disease']",1981,1964,36,10.946,4.0724
